series,condition,sigma,cell,rho,alpha_b,seed,N,pi_c,tau_LATE_true,kappa_LATE_true,NIE_LATE,NDE_LATE,tau_IV_IPSW,bias,SE_tau,CI_L,CI_U,CI_covers_true,FS_IPSW,RF_IPSW,W_mean_oracle,W_cv_oracle,W_mean_degraded,W_cv_degraded,n_C1,crash_rate
noise,sigma=0.2,0.2,T2-c,0.5,3.972,456,1000000,0.338206,-0.018423847190909046,0.7184854672087273,0.047021609596820266,-0.06544545678772931,-0.02187339466284246,-0.003449547471933413,0.002910634271144921,-0.027578237834286503,-0.016168551491398415,1,0.33517098041207133,-0.007331327134085075,7.998923044355722,0.4217494171599284,8.159049972456547,0.47595873019017476,145791,0.145791
noise,sigma=0.4,0.4,T2-c,0.5,3.972,456,1000000,0.338206,-0.018423847190909046,0.7184854672087273,0.047021609596820266,-0.06544545678772931,-0.022900360078124404,-0.004476512887215359,0.003072305728434739,-0.028922079305856493,-0.016878640850392316,1,0.33696688664190216,-0.007716663038504087,7.998923044355722,0.4217494171599284,8.665917494933863,0.6174377606593224,145791,0.145791
spatial,state_K10,0.0,T2-c,0.5,3.972,456,1000000,0.338206,-0.018423847190909046,0.7184854672087273,0.047021609596820266,-0.06544545678772931,-0.023614827649405458,-0.005190980458496412,0.002816663086583231,-0.02913548729910859,-0.018094167999702326,1,0.3361840667495396,-0.007938928794766598,7.998923044355722,0.4217494171599284,7.929111155645116,0.3955143595086502,145791,0.145791
temporal,no_b_term,0.0,T2-c,0.5,3.972,456,1000000,0.338206,-0.018423847190909046,0.7184854672087273,0.047021609596820266,-0.06544545678772931,-0.0427965197148429,-0.024372672523933853,0.0031737873282617966,-0.04901714287823602,-0.03657589655144978,0,0.28183432326683977,-0.012061528172008715,7.998923044355722,0.4217494171599284,11.293094022248477,0.3235161665189187,145791,0.145791
noise,sigma=0.0,0.0,T2-c,0.5,3.972,789,1000000,0.337737,-0.018256927644448133,0.7196931673949827,0.04687501179055708,-0.06513193943500521,-0.01845918881246307,-0.0002022611680149375,0.002842294684732707,-0.024030086394539178,-0.012888291230386964,1,0.33639315344903215,-0.006209544734735548,8.002828563318694,0.4215522058459825,8.002828563318694,0.4215522058459825,145777,0.145777
noise,sigma=0.1,0.1,T2-c,0.5,3.972,789,1000000,0.337737,-0.018256927644448133,0.7196931673949827,0.04687501179055708,-0.06513193943500521,-0.017851615318844813,0.00040531232560332003,0.002852436755025813,-0.023442391358695407,-0.01226083927899422,1,0.3367015171048088,-0.006010665960626493,8.002828563318694,0.4215522058459825,8.042303360327352,0.4356936887143862,145777,0.145777
noise,sigma=0.2,0.2,T2-c,0.5,3.972,789,1000000,0.337737,-0.018256927644448133,0.7196931673949827,0.04687501179055708,-0.06513193943500521,-0.019330970807552618,-0.001074043163104485,0.0029024665729891997,-0.02501980529061145,-0.013642136324493787,1,0.3365101635595384,-0.006505068148214194,8.002828563318694,0.4215522058459825,8.166963507183418,0.47510153148108974,145777,0.145777
noise,sigma=0.4,0.4,T2-c,0.5,3.972,789,1000000,0.337737,-0.018256927644448133,0.7196931673949827,0.04687501179055708,-0.06513193943500521,-0.01796800340594007,0.0002889242385080634,0.0030845548760149114,-0.024013730962929296,-0.011922275848950843,1,0.3352666445565212,-0.006024072211289672,8.002828563318694,0.4215522058459825,8.667204278445919,0.6176521863705372,145777,0.145777
spatial,state_K10,0.0,T2-c,0.5,3.972,789,1000000,0.337737,-0.018256927644448133,0.7196931673949827,0.04687501179055708,-0.06513193943500521,-0.019404426682202883,-0.0011474990377547505,0.002808642384655212,-0.024909365756127098,-0.013899487608278669,1,0.3360234203720823,-0.00652034182411311,8.002828563318694,0.4215522058459825,7.93295560574897,0.3952378625596588,145777,0.145777
temporal,no_b_term,0.0,T2-c,0.5,3.972,789,1000000,0.337737,-0.018256927644448133,0.7196931673949827,0.04687501179055708,-0.06513193943500521,-0.03760429416453563,-0.0193473665200875,0.003152228603041439,-0.04378266222649685,-0.031425926102574414,0,0.283561659598636,-0.010663136061331027,8.002828563318694,0.4215522058459825,11.288445445659972,0.323299208200763,145777,0.145777
noise,sigma=0.0,0.0,T2-c,0.5,3.972,2026,1000000,0.338805,-0.01823784501311028,0.7199483362858448,0.04688529966395684,-0.06512314467706712,-0.016979540088480426,0.0012583049246298536,0.002816248553363418,-0.022499387253072725,-0.011459692923888126,1,0.33863056145396525,-0.005749791193392237,7.996183706956571,0.42063180688912777,7.996183706956571,0.42063180688912777,145928,0.145928
noise,sigma=0.1,0.1,T2-c,0.5,3.972,2026,1000000,0.338805,-0.01823784501311028,0.7199483362858448,0.04688529966395684,-0.06512314467706712,-0.016648575483269992,0.001589269529840287,0.0028294632181549433,-0.02219432339085368,-0.011102827575686303,1,0.33911231952957005,-0.00564573704899482,7.996183706956571,0.42063180688912777,8.037505267771616,0.4347468018677106,145928,0.145928
noise,sigma=0.2,0.2,T2-c,0.5,3.972,2026,1000000,0.338805,-0.01823784501311028,0.7199483362858448,0.04688529966395684,-0.06512314467706712,-0.01743227918045289,0.0008055658326573886,0.0028852778089109993,-0.02308742368591845,-0.011777134674987332,1,0.3375696983819016,-0.005884609225054585,7.996183706956571,0.42063180688912777,8.159969187213255,0.4747148640687068,145928,0.145928
noise,sigma=0.4,0.4,T2-c,0.5,3.972,2026,1000000,0.338805,-0.01823784501311028,0.7199483362858448,0.04688529966395684,-0.06512314467706712,-0.014084619489944532,0.004153225523165747,0.003056697702817554,-0.02007574698746694,-0.008093491992422127,1,0.33830568728453636,-0.004764906876686861,7.996183706956571,0.42063180688912777,8.660513584482134,0.6179763217930153,145928,0.145928
spatial,state_K10,0.0,T2-c,0.5,3.972,2026,1000000,0.338805,-0.01823784501311028,0.7199483362858448,0.04688529966395684,-0.06512314467706712,-0.018349904373860193,-0.00011205936074991374,0.002786723164278611,-0.02381188177584627,-0.012887926971874115,1,0.33851187882495537,-0.0062116606058536805,7.996183706956571,0.42063180688912777,7.92705987604029,0.3948005178459284,145928,0.145928
temporal,no_b_term,0.0,T2-c,0.5,3.972,2026,1000000,0.338805,-0.01823784501311028,0.7199483362858448,0.04688529966395684,-0.06512314467706712,-0.03634558894652911,-0.01810774393341883,0.0031283160310623453,-0.042477088367411306,-0.030214089525646914,0,0.2846715312395389,-0.010346554459211302,7.996183706956571,0.42063180688912777,11.288685920698294,0.32326310024423105,145928,0.145928
noise,sigma=0.0,0.0,T2-d,1.0,3.972,42,1000000,0.299482,-0.01538104178290807,0.7474194596567103,0.04551455121092765,-0.06089559299383572,-0.014989012934231941,0.0003920288486761285,0.0031594916045573134,-0.021181616479164275,-0.008796409389299608,1,0.3019755851528598,-0.004526315951678475,8.075149124889329,0.4405267494581293,8.075149124889329,0.4405267494581293,146692,0.146692
noise,sigma=0.1,0.1,T2-d,1.0,3.972,42,1000000,0.299482,-0.01538104178290807,0.7474194596567103,0.04551455121092765,-0.06089559299383572,-0.01471433025584511,0.0006667115270629596,0.0031693783707959972,-0.020926311862605265,-0.008502348649084956,1,0.30202649364795575,-0.004444117573550926,8.075149124889329,0.4405267494581293,8.114832324117083,0.4541160770462324,146692,0.146692
noise,sigma=0.2,0.2,T2-d,1.0,3.972,42,1000000,0.299482,-0.01538104178290807,0.7474194596567103,0.04551455121092765,-0.06089559299383572,-0.014775339388029718,0.0006057023948783519,0.0032309727447594476,-0.021108045967758234,-0.0084426328083012,1,0.3019742089192524,-0.004461771423213745,8.075149124889329,0.4405267494581293,8.236785034076032,0.49305304582506454,146692,0.146692
noise,sigma=0.4,0.4,T2-d,1.0,3.972,42,1000000,0.299482,-0.01538104178290807,0.7474194596567103,0.04551455121092765,-0.06089559299383572,-0.017916352526447903,-0.002535310743539833,0.0034294089970711805,-0.024637994160707416,-0.01119471089218839,1,0.3012012929912836,-0.005396428546653759,8.075149124889329,0.4405267494581293,8.749851648672152,0.6342805006691165,146692,0.146692
spatial,state_K10,0.0,T2-d,1.0,3.972,42,1000000,0.299482,-0.01538104178290807,0.7474194596567103,0.04551455121092765,-0.06089559299383572,-0.015547640238994626,-0.00016659845608655612,0.0030978355490663967,-0.021619397915164762,-0.009475882562824488,1,0.30214472585690333,-0.00469763749773279,8.075149124889329,0.4405267494581293,8.003841961835123,0.41391781488822355,146692,0.146692
temporal,no_b_term,0.0,T2-d,1.0,3.972,42,1000000,0.299482,-0.01538104178290807,0.7474194596567103,0.04551455121092765,-0.06089559299383572,-0.0429828072283664,-0.02760176544545833,0.0034279156493273832,-0.04970152190104807,-0.03626409255568473,0,0.25326902356980496,-0.010886213617017512,8.075149124889329,0.4405267494581293,11.13835058060382,0.28695994622939897,146692,0.146692
noise,sigma=0.0,0.0,T2-d,1.0,3.972,123,1000000,0.300265,-0.01527484438771294,0.7483015667151597,0.045412241297984636,-0.06068708568569758,-0.018293527718215075,-0.0030186833305021338,0.003207042522776481,-0.02457933106285698,-0.012007724373573172,1,0.29613377663617657,-0.005417331451193608,8.07014499816701,0.4399571378459961,8.07014499816701,0.4399571378459961,146645,0.146645
noise,sigma=0.1,0.1,T2-d,1.0,3.972,123,1000000,0.300265,-0.01527484438771294,0.7483015667151597,0.045412241297984636,-0.06068708568569758,-0.01836600604717338,-0.0030911616594604396,0.003226010283598483,-0.024688986203026408,-0.012043025891320353,1,0.2958481255055653,-0.0054335484620801205,8.07014499816701,0.4399571378459961,8.111888868768776,0.45313681465112743,146645,0.146645
noise,sigma=0.2,0.2,T2-d,1.0,3.972,123,1000000,0.300265,-0.01527484438771294,0.7483015667151597,0.045412241297984636,-0.06068708568569758,-0.018318819456173946,-0.003043975068461005,0.0032724815265115057,-0.024732883248136498,-0.011904755664211394,1,0.2962479696605716,-0.005426913070470107,8.07014499816701,0.4399571378459961,8.231039024844426,0.4920040387418979,146645,0.146645
noise,sigma=0.4,0.4,T2-d,1.0,3.972,123,1000000,0.300265,-0.01527484438771294,0.7483015667151597,0.045412241297984636,-0.06068708568569758,-0.016749231669566596,-0.0014743872818536556,0.003453362679485618,-0.02351782252135841,-0.009980640817774784,1,0.2962776796226447,-0.004962423494521306,8.07014499816701,0.4399571378459961,8.745648098509461,0.631954006907444,146645,0.146645
spatial,state_K10,0.0,T2-d,1.0,3.972,123,1000000,0.300265,-0.01527484438771294,0.7483015667151597,0.045412241297984636,-0.06068708568569758,-0.01990826234409284,-0.0046334179563799,0.003155033332595623,-0.02609212767598026,-0.01372439701220542,1,0.2960086683361767,-0.005893018225362173,8.07014499816701,0.4399571378459961,7.999178352042637,0.4136104802926891,146645,0.146645
temporal,no_b_term,0.0,T2-d,1.0,3.972,123,1000000,0.300265,-0.01527484438771294,0.7483015667151597,0.045412241297984636,-0.06068708568569758,-0.047673751814510154,-0.03239890742679721,0.003501418841399241,-0.054536532743652666,-0.04081097088536764,0,0.24797368890415594,-0.011821836101345282,8.07014499816701,0.4399571378459961,11.141966624541784,0.28668769561606355,146645,0.146645
noise,sigma=0.0,0.0,T2-d,1.0,3.972,456,1000000,0.300074,-0.015411669271373322,0.7470412166187527,0.04551394503372711,-0.060925614305100434,-0.021061851215069868,-0.005650181943696545,0.0032210662301285337,-0.027375141026121794,-0.014748561404017941,1,0.29453100946410876,-0.0062033682995573936,8.077323221300718,0.440827100173654,8.077323221300718,0.440827100173654,146487,0.146487
noise,sigma=0.1,0.1,T2-d,1.0,3.972,456,1000000,0.300074,-0.015411669271373322,0.7470412166187527,0.04551394503372711,-0.060925614305100434,-0.021057508283672328,-0.005645839012299005,0.003236799293269049,-0.027401634898479663,-0.014713381668864992,1,0.2943158105931532,-0.0061975576195810594,8.077323221300718,0.440827100173654,8.119315702433234,0.45429997488558627,146487,0.146487
noise,sigma=0.2,0.2,T2-d,1.0,3.972,456,1000000,0.300074,-0.015411669271373322,0.7470412166187527,0.04551394503372711,-0.060925614305100434,-0.020164503143680467,-0.004752833872307145,0.0032913489753965256,-0.026615547135457655,-0.013713459151903277,1,0.29424947357867154,-0.0059333944350034445,8.077323221300718,0.440827100173654,8.238802758011765,0.4935303180149707,146487,0.146487
noise,sigma=0.4,0.4,T2-d,1.0,3.972,456,1000000,0.300074,-0.015411669271373322,0.7470412166187527,0.04551394503372711,-0.060925614305100434,-0.020923479636301468,-0.005511810364928146,0.003470080010434799,-0.027724836456753672,-0.014122122815849262,1,0.2954019132315277,-0.006180835916024363,8.077323221300718,0.440827100173654,8.751051080215023,0.6331517777610065,146487,0.146487
spatial,state_K10,0.0,T2-d,1.0,3.972,456,1000000,0.300074,-0.015411669271373322,0.7470412166187527,0.04551394503372711,-0.060925614305100434,-0.021619387271158145,-0.006207717999784822,0.0031743618424739436,-0.027841136482407075,-0.015397638059909215,1,0.2947893981944866,-0.006373166162998253,8.077323221300718,0.440827100173654,8.006068109609204,0.4143281603779884,146487,0.146487
