cell,rho,alpha_b,seed,delta_ZY,N,pi_c,n_C1,crash_rate,tau_LATE_true,NDE_LATE,NIE_LATE,tau_IV_IPSW,SE_tau,CI_L,CI_U,bias,bias_pct,ci_covers_true,tau_IV_positive,FS,RF,reject_H0_tau0,degenerate
T2-b,1.0,0.3,456,0.05,1000000,0.299135,101560,0.10156,-0.05872865075411397,-0.060837236013523935,0.002108585259409972,0.11038323693454234,0.003342377704037425,0.10383217663462899,0.1169342972344557,0.16911188768865631,287.9546618509875,0,1,0.3015912502825153,0.03329061843731975,1,0
T2-b,1.0,0.3,789,0.05,1000000,0.299617,101605,0.101605,-0.058728768283169926,-0.06083789885622507,0.002109130573055138,0.1116122967504762,0.0033765437146819465,0.10499427106969958,0.11823032243125281,0.17034106503364613,290.04705872992275,0,1,0.29864713387813546,0.033332692530085646,1,0
T2-b,1.0,0.3,2026,0.05,1000000,0.300005,101840,0.10184,-0.058694100066749605,-0.06080184334646854,0.0021077432797189386,0.10701411097654298,0.0032939295362957844,0.10055800908540324,0.11347021286768272,0.16570821104329259,282.3251584994772,0,1,0.30388415267256785,0.03251989243811491,1,0
T2-b,1.0,0.3,42,0.1,1000000,0.299842,101504,0.101504,-0.058779770103860575,-0.06088983967904454,0.0021100695751839677,0.27388303323068003,0.0042982595623670015,0.2654584444884407,0.28230762197291936,0.3326628033345406,565.9477788816527,0,1,0.2988794163709294,0.08185800112588551,1,0
T2-b,1.0,0.3,123,0.1,1000000,0.298566,101605,0.101605,-0.058801808647500786,-0.06091256196652379,0.002110753319023006,0.27758116559468304,0.004269591398733649,0.2692127664531651,0.285949564736201,0.33638297424218383,572.0622919248945,0,1,0.3016404549612664,0.08372970907865881,1,0
T2-b,1.0,0.3,456,0.1,1000000,0.299135,101560,0.10156,-0.05872865075411397,-0.060837236013523935,0.002108585259409972,0.2761705399586272,0.004259990591029643,0.26782095840020914,0.2845201215170453,0.3348991907127412,570.2483990563692,0,1,0.3015912502825153,0.08329061843731975,1,0
T2-b,1.0,0.3,789,0.1,1000000,0.299617,101605,0.101605,-0.058728768283169926,-0.06083789885622507,0.002109130573055138,0.2790339604065634,0.004321417698389672,0.27056398171771967,0.28750393909540717,0.33776272868973334,575.1231271549193,0,1,0.29864713387813546,0.0833326925300853,1,0
T2-b,1.0,0.3,2026,0.1,1000000,0.300005,101840,0.10184,-0.058694100066749605,-0.06080184334646854,0.0021077432797189386,0.27155049617552585,0.004182337211428566,0.26335311524112587,0.2797478771099258,0.3302445962422754,562.6538201739293,0,1,0.30388415267256785,0.08251989243811506,1,0
T2-c,0.5,3.972,42,0.0,1000000,0.338525,145942,0.145942,-0.01829427067905143,-0.06524843603783635,0.0469541653587849,-0.018818642779994108,0.00285076662612533,-0.024406145367199754,-0.013231140192788461,-0.0005243721009426765,2.8663186969411645,1,0,0.33720263370343656,-0.006345695908138174,1,0
T2-c,0.5,3.972,123,0.0,1000000,0.337101,145989,0.145989,-0.01841825957615533,-0.06545860998161038,0.047040350405455025,-0.013162962448797161,0.002826639248539825,-0.01870317537593522,-0.007622749521659104,0.00525529712735817,28.53308210598676,1,0,0.3379137874224933,-0.004447946494773106,1,0
T2-c,0.5,3.972,456,0.0,1000000,0.33768,145632,0.145632,-0.018347424226282497,-0.06530633555192603,0.04695891132564351,-0.014795997857287429,0.0028313264880924535,-0.020345397773948636,-0.00924659794062622,0.0035514263689950688,19.356539235124277,1,0,0.3375101852600627,-0.004993799977920571,1,0
T2-c,0.5,3.972,789,0.0,1000000,0.338303,145739,0.145739,-0.018271693602941504,-0.06520786585062725,0.04693617224768573,-0.017465576193315516,0.0028418620545944545,-0.02303562582032065,-0.011895526566310386,0.0008061174096259879,4.411837387072939,1,0,0.3363179597581233,-0.005873986951335924,1,0
T2-c,0.5,3.972,2026,0.0,1000000,0.338434,146114,0.146114,-0.01824457864241312,-0.06515955558924999,0.046914976946836884,-0.01761406804882464,0.002786550443787023,-0.0230757069186472,-0.012152429179002075,0.0006305105935884812,3.4558791734588765,1,0,0.3418878251542328,-0.006022035417331317,1,0
T2-c,0.5,3.972,42,0.005,1000000,0.338525,145942,0.145942,-0.01829427067905143,-0.06524843603783635,0.0469541653587849,-0.003990763338232159,0.002846967773602838,-0.009570820174493722,0.0015892934980294036,0.014303507340819272,78.1857205009985,0,0,0.33720263370343656,-0.0013456959081390024,0,0
T2-c,0.5,3.972,123,0.005,1000000,0.337101,145989,0.145989,-0.01841825957615533,-0.06545860998161038,0.047040350405455025,0.0016337110996191774,0.002824722189772954,-0.0039027443923358124,0.007170166591574167,0.020051970675774508,108.87006230346658,0,1,0.3379137874224933,0.0005520535052264824,0,0
T2-c,0.5,3.972,456,0.005,1000000,0.33768,145632,0.145632,-0.018347424226282497,-0.06530633555192603,0.04695891132564351,1.836988141254476e-05,0.002828859754878936,-0.00552619523815017,0.005562935000975259,0.01836579410769504,100.10012239966757,0,1,0.3375101852600627,6.200022078753364e-06,0,0
T2-c,0.5,3.972,789,0.005,1000000,0.338303,145739,0.145739,-0.018271693602941504,-0.06520786585062725,0.04693617224768573,-0.002598692475312061,0.002838484713770871,-0.008162122514302969,0.002964737563678846,0.015673001127629444,85.77749533358143,0,0,0.3363179597581233,-0.0008739869513357396,0,0
T2-c,0.5,3.972,2026,0.005,1000000,0.338434,146114,0.146114,-0.01824457864241312,-0.06515955558924999,0.046914976946836884,-0.002989388162244365,0.0027832133178725587,-0.00844448626527458,0.00246570994078585,0.015255190480168756,83.61492352969478,0,0,0.3418878251542328,-0.001022035417331535,0,0
T2-c,0.5,3.972,42,0.01,1000000,0.338525,145942,0.145942,-0.01829427067905143,-0.06524843603783635,0.0469541653587849,0.010837116103533493,0.0028481085496162915,0.005254823346285562,0.016419408860781425,0.029131386782584923,159.2377596989584,0,1,0.33720263370343656,0.0036543040918614184,1,0
T2-c,0.5,3.972,123,0.01,1000000,0.337101,145989,0.145989,-0.01841825957615533,-0.06545860998161038,0.047040350405455025,0.016430384648037734,0.002827725271110301,0.010888043116661545,0.021972726179413923,0.034848644224193065,189.20704250095844,0,1,0.3379137874224933,0.00555205350522682,1,0
