cell,rho,alpha_b,seed,delta_ZY,N,pi_c,n_C1,crash_rate,tau_LATE_true,NDE_LATE,NIE_LATE,tau_IV_IPSW,SE_tau,CI_L,CI_U,bias,bias_pct,ci_covers_true,tau_IV_positive,FS,RF,reject_H0_tau0,degenerate
T2-b,1.0,0.3,123,0.0,1000000,0.298566,101605,0.101605,-0.058801808647500786,-0.06091256196652379,0.002110753319023006,-0.0539393528080679,0.0031870431590916514,-0.06018595739988754,-0.04769274821624826,0.004862455839432886,8.269228364355,1,0,0.3016404549612664,-0.016270290921341864,1,0
T2-b,1.0,0.3,456,0.0,1000000,0.299135,101560,0.10156,-0.05872865075411397,-0.060837236013523935,0.002108585259409972,-0.055404066089542015,0.0031905006721435277,-0.06165744740694333,-0.0491506847721407,0.0033245846645719584,5.660924645606761,1,0,0.3015912502825153,-0.016709381562680085,1,0
T2-b,1.0,0.3,789,0.0,1000000,0.299617,101605,0.101605,-0.058728768283169926,-0.06083789885622507,0.002109130573055138,-0.055809366905612105,0.0032190106765554297,-0.06211862783166075,-0.04950010597956346,0.0029194013775578204,4.9709903049242765,1,0,0.29864713387813546,-0.016667307469914322,1,0
T2-b,1.0,0.3,2026,0.0,1000000,0.300005,101840,0.10184,-0.058694100066749605,-0.06080184334646854,0.0021077432797189386,-0.057522274222437664,0.003159371788493369,-0.06371464292788467,-0.05132990551699066,0.0011718258443119411,1.9964968250288997,1,0,0.30388415267256785,-0.01748010756188456,1,0
T2-b,1.0,0.3,42,0.005,1000000,0.299842,101504,0.101504,-0.058779770103860575,-0.06088983967904454,0.0021100695751839677,-0.04397090650700503,0.0032154390234471718,-0.05027316699296149,-0.03766864602104857,0.014808863596855543,25.19380999736662,0,0,0.2988794163709294,-0.013141998874114366,1,0
T2-b,1.0,0.3,123,0.005,1000000,0.298566,101605,0.101605,-0.058801808647500786,-0.06091256196652379,0.002110753319023006,-0.037363326887930315,0.0031610867364389493,-0.04355905689135066,-0.031167596884509974,0.02143848175957047,36.458881542382045,0,0,0.3016404549612664,-0.011270290921341818,1,0
T2-b,1.0,0.3,456,0.005,1000000,0.299135,101560,0.10156,-0.05872865075411397,-0.060837236013523935,0.002108585259409972,-0.03882533578713415,0.00316373849967422,-0.045026263246495626,-0.03262440832777268,0.01990331496697982,33.89029836614386,0,0,0.3015912502825153,-0.011709381562680275,1,0
T2-b,1.0,0.3,789,0.005,1000000,0.299617,101605,0.101605,-0.058728768283169926,-0.06083789885622507,0.002109130573055138,-0.039067200540003184,0.0031914534540506945,-0.045322449309942545,-0.032811951770063824,0.01966156774316674,33.478597147424274,0,0,0.29864713387813546,-0.011667307469914297,1,0
T2-b,1.0,0.3,2026,0.005,1000000,0.300005,101840,0.10184,-0.058694100066749605,-0.06080184334646854,0.0021077432797189386,-0.04106863570253955,0.0031318765730930865,-0.047207113785801995,-0.0349301576192771,0.01762546436421006,30.029362992473825,0,0,0.30388415267256785,-0.012480107561884599,1,0
T2-b,1.0,0.3,42,0.01,1000000,0.299842,101504,0.101504,-0.058779770103860575,-0.06088983967904454,0.0021100695751839677,-0.027241751783968964,0.0031947480335210213,-0.03350345792967017,-0.02098004563826776,0.031538018319891614,53.65454520180275,0,0,0.2988794163709294,-0.008141998874114369,1,0
T2-b,1.0,0.3,123,0.01,1000000,0.298566,101605,0.101605,-0.058801808647500786,-0.06091256196652379,0.002110753319023006,-0.02078730096779222,0.003144443418136293,-0.026950410067339354,-0.014624191868245085,0.03801450767970857,64.64853472040996,0,0,0.3016404549612664,-0.006270290921341619,1,0
T2-b,1.0,0.3,456,0.01,1000000,0.299135,101560,0.10156,-0.05872865075411397,-0.060837236013523935,0.002108585259409972,-0.02224660548472606,0.003146271828547341,-0.028413298268678847,-0.016079912700773275,0.03648204526938791,62.11967208668134,0,0,0.3015912502825153,-0.006709381562680396,1,0
T2-b,1.0,0.3,789,0.01,1000000,0.299617,101605,0.101605,-0.058728768283169926,-0.06083789885622507,0.002109130573055138,-0.022325034174395512,0.0031734943548745354,-0.0285450831099496,-0.016104985238841425,0.03640373410877441,61.98620398992215,0,0,0.29864713387813546,-0.006667307469914646,1,0
T2-b,1.0,0.3,2026,0.01,1000000,0.300005,101840,0.10184,-0.058694100066749605,-0.06080184334646854,0.0021077432797189386,-0.024614997182641245,0.0031134238309182137,-0.030717307891240945,-0.018512686474041546,0.034079102884108356,58.062229159919056,0,0,0.30388415267256785,-0.00748010756188458,1,0
T2-b,1.0,0.3,42,0.02,1000000,0.299842,101504,0.101504,-0.058779770103860575,-0.06088983967904454,0.0021100695751839677,0.006216557662103407,0.003182467033820395,-2.1077724184566902e-05,0.01245419304839138,0.06499632776596398,110.5760156106754,0,1,0.2988794163709294,0.0018580011258856957,0,0
T2-b,1.0,0.3,123,0.02,1000000,0.298566,101605,0.101605,-0.058801808647500786,-0.06091256196652379,0.002110753319023006,0.012364750872481641,0.003139605693487739,0.006211123713245672,0.01851837803171761,0.07116655951998242,121.02784107646181,0,1,0.3016404549612664,0.0037297090786580778,1,0
T2-b,1.0,0.3,456,0.02,1000000,0.299135,101560,0.10156,-0.05872865075411397,-0.060837236013523935,0.002108585259409972,0.010910855120092008,0.003139763012862852,0.004756919614880818,0.017064790625303198,0.06963950587420598,118.57841952775954,0,1,0.3015912502825153,0.0032906184373199324,1,0
T2-b,1.0,0.3,789,0.02,1000000,0.299617,101605,0.101605,-0.058728768283169926,-0.06083789885622507,0.002109130573055138,0.01115929855682287,0.0031669364589268154,0.004952103097326312,0.017366494016319428,0.0698880668399928,119.00141767492308,0,1,0.29864713387813546,0.003332692530085564,1,0
T2-b,1.0,0.3,2026,0.02,1000000,0.300005,101840,0.10184,-0.058694100066749605,-0.06080184334646854,0.0021077432797189386,0.008292279857155627,0.003104211823739753,0.0022080246826257114,0.014376535031685542,0.06698637992390523,114.12796149480997,0,1,0.30388415267256785,0.0025198924381155396,1,0
T2-b,1.0,0.3,42,0.05,1000000,0.299842,101504,0.101504,-0.058779770103860575,-0.06088983967904454,0.0021100695751839677,0.10659148600032049,0.0033747180526408167,0.09997703861714449,0.1132059333834965,0.16537125610418107,281.34042683729336,0,1,0.2988794163709294,0.03185800112588588,1,0
T2-b,1.0,0.3,123,0.05,1000000,0.298566,101605,0.101605,-0.058801808647500786,-0.06091256196652379,0.002110753319023006,0.1118209063933064,0.0033469146307269102,0.10526095371708166,0.11838085906953114,0.17062271504080717,290.16576014462277,0,1,0.3016404549612664,0.033729709078658125,1,0
