cell,rho,alpha_b,seed,use_physics,use_iv,use_ipsw,combo,n_C1,tau_hat,SE,CI_L,CI_U,tau_true,bias,ci_covers_true,D_L,D_U,kappa_ident_width
T2-null,0.5,4.99720863,456,False,False,False,piw,162230,0.06183780335124661,0.000981316646282754,0.059914422724532415,0.06376118397796081,0.001848,0.05998980335124661,False,,,
T2-null,0.5,4.99720863,789,False,False,False,piw,162198,0.05995127330742492,0.000989272356660768,0.05801229948836981,0.06189024712648002,0.001848,0.058103273307424916,False,,,
T2-null,0.5,4.99720863,2026,False,False,False,piw,161802,0.05948967885397333,0.000986927155949207,0.057555301628312884,0.06142405607963377,0.001848,0.057641678853973324,False,,,
T2-null,0.5,4.99720863,42,False,False,True,piW,161593,0.07101020982423481,0.0009525088395947245,0.06914329249862915,0.07287712714984047,0.001848,0.06916220982423481,False,,,
T2-null,0.5,4.99720863,123,False,False,True,piW,161953,0.06935885119606737,0.0009492135758267801,0.06749839258744689,0.07121930980468785,0.001848,0.06751085119606737,False,,,
T2-null,0.5,4.99720863,456,False,False,True,piW,162230,0.06985942534779958,0.0009555098423458009,0.06798662605680181,0.07173222463879736,0.001848,0.06801142534779958,False,,,
T2-null,0.5,4.99720863,789,False,False,True,piW,162198,0.06836600688127777,0.0009547807682605488,0.06649463657548708,0.07023737718706845,0.001848,0.06651800688127776,False,,,
T2-null,0.5,4.99720863,2026,False,False,True,piW,161802,0.0677130551516833,0.0009539278669243963,0.06584335653251149,0.06958275377085511,0.001848,0.0658650551516833,False,,,
T2-null,0.5,4.99720863,42,False,True,False,pIw,161593,-0.016542442652481018,0.0030632251128208062,-0.0225463638736098,-0.010538521431352237,0.001848,-0.018390442652481017,False,,,
T2-null,0.5,4.99720863,123,False,True,False,pIw,161953,-0.018876851109817516,0.0030052938053957545,-0.024767226968393195,-0.012986475251241837,0.001848,-0.020724851109817515,False,,,
T2-null,0.5,4.99720863,456,False,True,False,pIw,162230,-0.01398438974056902,0.0029865673296190164,-0.019838061706622293,-0.008130717774515748,0.001848,-0.015832389740569018,False,,,
T2-null,0.5,4.99720863,789,False,True,False,pIw,162198,-0.019585851865285876,0.003050908377350575,-0.025565632284893003,-0.013606071445678748,0.001848,-0.021433851865285874,False,,,
T2-null,0.5,4.99720863,2026,False,True,False,pIw,161802,-0.019668286362411674,0.003081310082422732,-0.025707654123960227,-0.01362891860086312,0.001848,-0.021516286362411673,False,,,
